num_atoms,mp,energy_error_abs,energy_error_pct,forces_error_max,forces_error_mae,forces_error_mape,forces_error_mse,forces_error_rms
426,3,0.0,0.0,1.6925868293604651e-06,2.236462756173918e-07,0.00037586281874211287,1.0392146650178173e-13,3.2236852591681734e-07
426,4,0.000244140625,1.1058220650284056e-05,2.031131589363966e-06,2.2332297998227727e-07,0.00039268260399524086,1.0146492426821008e-13,3.185355934086646e-07
426,5,0.00048828125,2.2116441300568113e-05,2.104970917571336e-06,2.2060530959202303e-07,0.00040039119758970035,1.0276823117089282e-13,3.2057484488164823e-07
426,6,0.00048828125,2.2116441300568113e-05,1.8337177152272233e-06,2.1932290470526034e-07,0.0003867636604772271,9.950079002158625e-14,3.154374581776652e-07
1704,3,0.0009765625,1.10582334400533e-05,1.875830234476794e-06,2.317872631346014e-07,0.0003586356245160886,1.0586240814848678e-13,3.2536503830080883e-07
1704,4,0.0009765625,1.10582334400533e-05,1.9157887207743585e-06,2.2626580504847813e-07,0.00037736068129502114,1.024308698262534e-13,3.200482304688676e-07
1704,5,0.001953125,2.21164668801066e-05,1.797450497109665e-06,2.2168297313735803e-07,0.00031558101158931257,9.720832397191888e-14,3.11782494652793e-07
1704,6,0.005859375,6.63494006403198e-05,2.010681773634282e-06,2.1839848205544627e-07,0.0003566723417399984,9.557537939834245e-14,3.091526797528083e-07
3408,3,0.0,0.0,2.140417430851471e-06,2.268411171821853e-07,0.00040300263215101606,1.0277734571500008e-13,3.2058906050425377e-07
3408,4,0.001953125,1.1058239124395186e-05,1.8261070706682148e-06,2.239054422542703e-07,0.0003761903005994246,1.001412341471422e-13,3.1645099801887525e-07
3408,5,0.001953125,1.1058239124395186e-05,1.8561320302978856e-06,2.1808638705027187e-07,0.00037053703959759397,9.491574568010472e-14,3.080839912752766e-07
3408,6,0.005859375,3.317471737318556e-05,1.8102150575183273e-06,2.161737217219002e-07,0.00036806588522839644,9.327901329204429e-14,3.054161313553105e-07
