num_atoms,mp,energy_error_abs,energy_error_pct,forces_error_max,forces_error_mae,forces_error_mape,forces_error_mse,forces_error_rms
192,3,0.0,0.0,1.2516975402832031e-06,2.2252187648064137e-07,29.71239686012268,9.864669031720702e-14,3.1408069389726734e-07
192,4,0.0,0.0,1.3009073427383555e-06,2.17356102893973e-07,13.146406412124634,9.574564990670609e-14,3.094279463766725e-07
192,5,0.0,0.0,1.1920928955078125e-06,2.2344339356550336e-07,17.44489073753357,9.731762786032924e-14,3.119577343113633e-07
192,6,0.0,0.0,1.1920928955078125e-06,2.1809334782574297e-07,24.659845232963562,9.406346280224978e-14,3.066976717036596e-07
768,3,0.0,0.0,1.4603137969970703e-06,1.8609908636335604e-07,15.23536592721939,6.911866776626238e-14,2.62904308101497e-07
768,4,0.00048828125,1.2812297711661813e-05,1.3113021850585938e-06,1.7000631657992926e-07,19.882814586162567,5.758691050058995e-14,2.3997273501663585e-07
768,5,0.0,0.0,1.1622905731201172e-06,1.730437020341924e-07,13.124309480190277,5.795373675312326e-14,2.4073582949313277e-07
768,6,0.00048828125,1.2812297711661813e-05,1.1920928955078125e-06,1.6757452669935446e-07,20.982885360717773,5.472660898672016e-14,2.3393718606712355e-07
1536,3,0.00146484375,1.9218531122078275e-05,1.519918441772461e-06,2.069910181035084e-07,40.750548243522644,8.502021379671112e-14,2.9158226766412554e-07
1536,4,0.0009765625,1.2812354555080674e-05,1.5497207641601562e-06,1.7809908570143307e-07,32.06358253955841,6.276040478330261e-14,2.505202587599342e-07
1536,5,0.00048828125,6.406177277540337e-06,1.2218952178955078e-06,1.7907134974848304e-07,35.13631820678711,6.441849549447543e-14,2.5380799684171507e-07
1536,6,0.00048828125,6.406177277540337e-06,1.2516975402832031e-06,1.7642118166349974e-07,27.41979956626892,6.250314393656253e-14,2.500062805665948e-07
3456,3,0.001953125,1.1388578968762886e-05,1.5795230865478516e-06,2.0251226828804647e-07,31.62289261817932,8.237862974234955e-14,2.87016774791482e-07
3456,4,0.001953125,1.1388578968762886e-05,1.7285346984863281e-06,1.9435131548561912e-07,30.415546894073486,7.628198474361053e-14,2.761919404292712e-07
3456,5,0.001953125,1.1388578968762886e-05,1.341104507446289e-06,1.7637644589285628e-07,23.248131573200226,6.234562968969112e-14,2.496910553873022e-07
3456,6,0.001953125,1.1388578968762886e-05,1.2814998626708984e-06,1.726973692939282e-07,22.833028435707092,5.972814880487662e-14,2.4439341927973146e-07
