mp-683041,K2Pd3Se4
mp-882474,LiCo3Sb(PO4)6
mp-1203882,IrN4Cl3O
mp-981214,SrMg5
mp-1196687,Pr14C14Cl9
mp-1219883,Pr2Nd2Sb3
mp-1203632,Na2V2CuH4(OF)6
mp-1201300,ReRhBr6N5Cl
mp-1245734,Mn(C4N3)2
mp-1233148,KCaNi2H3(SeO5)2
mp-1195235,BaAlB4H3O10
mp-2713579,Na3HfTa(GeO4)3
mp-14726,Na4TiO4
mp-1223767,K2MgH4(I2O7)2
mp-552185,AgNO3
mp-15668,NaSe
mp-1225188,EuDyTi2O7
mp-1174846,Li4MnCo2O7
mp-850757,Fe3OF5
mp-1008925,LiFeP
mp-1227035,Co10SnSb30
mp-20162,InAgS2
mp-1214336,BaSmCuBO5
mp-1105721,NaCr2In(H2O5)2
mp-1044380,MgFeBiO5
mp-5515,Li7MnN4
mp-961715,HfPtPb
mp-20821,NpGa3
mp-1192842,Lu5Mg24
mp-569889,CsC3(SeN)3
mp-1213001,EuCrTeO6
mp-1099763,Ba2Sr2Co(CuO4)3
mp-774,CaNi5
mp-775206,VSb3(PO4)6
mp-1520014,NaPrInSbO6
mp-774680,Li2Ti3NiO8
mp-862947,Ba2BiAu
mp-780579,Li3V3P8O29
mp-630528,InS
mp-1207346,Cu3NiF6
mp-554517,NaMnF4
mp-1234141,MgZn4(Se2O5)4
mp-2712924,NbGa3P2(SO6)4
mp-684108,Li2Ti(PO3)5
mp-1246649,Sr3Fe3N5
mp-1192256,Dy3GaCoS7
mp-1516716,BaCaCeNbO6
mp-22372,Mn6Ni16P7
mp-685129,Co17Se20
mp-23199,BaCl2
mp-1173083,Nb6(Pb2O5)5
mp-1272321,NaMnO2
mp-28339,CaPPt
mp-1183975,GaGe3
mp-1234339,MgCo5SbO8
mp-8898,TaAlO4
mp-1186666,PmPu3
mp-569577,Tb(SiAu)2
mp-1205476,Na3VH11IO13
mp-1094097,Rb2Ce2Fe4O9
mp-976142,PrDyTl2
mp-27167,Sn2IF3
mp-2228188,Ba2YMgMn3O8
mp-5986,BaTiO3
mp-1214226,BeNb4
mp-1195887,Na3U6CrF30
mp-1214714,Ba2TlF7
mp-801566,Li4V3FeO8
mp-1206808,Cs2LiAlF6
mp-1219059,SmV2Fe10N
mp-600052,SiO2
mp-1047646,Ca(MoO2)2
mp-1042605,ZnCr4O6
mp-2714757,NaCaY3(SO4)6
mp-1221416,Na(Nb3Se4)2
mp-1214721,BaTeH3(S2O3)2
mp-1080428,NbBr4
mp-1223908,Hf2Ga3Cu
mp-2713231,Na2ScInP2SO12
mp-1201301,K2Hf2O5
mp-705380,LiMo2P3O13
mp-672945,BiP2O7
mp-20108,CaIn4Pd
mp-1204616,RbLiMoO5
mp-1102859,Pr3(MnSn)4
mp-2714154,Na14Mg5Ge3(PO4)12
mp-1227303,BaTaNO2
mp-753984,LiMnCoO4
mp-1210843,MnH4NF3
mp-570271,Ti4FeBi2
mp-1112480,K2AgAsCl6
mp-559618,NaB(CO2)4
mp-770961,Li2TiMn2O5
mp-1246483,Li6ReN4
mp-756227,LiV2F7
mp-972657,SmBiAu2
mp-1210622,Nd3(Ge3Pt2)2
mp-1021510,LiGe2(PO4)3
mp-1208897,Sr(MgIn)2
mp-9754,Tl2Cr3O12
