method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,40679,17712,0.5645910666437228,13942,21193055,9.512763967361993,2260,2149,2214.0,38.07886552931954,46.0,5193,5011,5084.875,74.0868367188126,108.125
spectral,39816,17712,0.5551537070524413,14256,22167072,9.492122287073807,2268,2124,2214.0,54.0,54.0,5076,4860,4977.0,77.94228634059948,99.0
grid,89029,17712,0.8010535892798976,32889,50923560,22.016779719432837,2244,2190,2214.0,18.867962264113206,30.0,11150,11094,11128.625,18.282077972703213,21.375
metis_unweighted,40296,17712,0.5604526503871352,13660,20783069,9.305105087964646,2279,2151,2214.0,42.649736224272246,65.0,5099,4951,5037.0,44.986108967102275,62.0
metis,63331,16384,0.7412957319480191,21345,29453707,15.947114185250017,2109,1988,2048.0,40.66939881532551,61.0,8108,7749,7916.375,112.64095336510607,191.625
spectral,61188,16384,0.7322350787736157,21112,29413045,15.638198803381233,2288,1863,2048.0,141.86260959111107,240.0,7921,7377,7648.5,186.30687051206672,272.5
grid,88745,16384,0.8153811482337033,29641,42044781,21.61531569983135,2085,2009,2048.0,27.258026340878022,37.0,11202,11013,11093.125,62.87574552241906,108.875
metis_unweighted,63485,16384,0.7419232889658974,21918,30526701,16.246287376090944,2109,1988,2048.0,39.70516339218364,61.0,8253,7471,7935.625,209.30118101673483,317.375
metis,78894,18000,0.7718457677389916,23206,54807603,10.142814832427726,2317,2185,2250.0,52.718592545704404,67.0,10053,9440,9861.75,183.0606115471048,191.25
spectral,87424,18000,0.7941068814055637,27353,64753299,12.076880877992942,2636,2016,2250.0,228.08222201653507,386.0,12651,10191,10928.0,974.9261510494013,1723.0
grid,93736,18000,0.8079713237176752,27113,63646209,12.024946414492458,2350,2150,2250.0,61.237243569579455,100.0,12285,11144,11717.0,355.51582243270127,568.0
metis_unweighted,78239,18000,0.769935709812242,23573,55800909,10.31131072246233,2317,2187,2250.0,52.15361924162119,67.0,10026,9543,9779.875,131.38344406735575,246.125
metis,78367,18000,0.7703114831497951,20079,63202897,6.726594846669552,2317,2184,2250.0,53.131911315140925,67.0,10012,9647,9795.875,118.6090610999008,216.125
spectral,72935,18000,0.7532049084801535,21015,68429333,6.7384597363344545,2502,2060,2250.0,185.50539075724996,252.0,9581,8732,9116.875,315.0335051625462,464.125
grid,97472,18000,0.8153315824031516,31435,103994072,9.897993708892537,2331,2159,2250.0,57.61293257594166,81.0,12701,11784,12184.0,297.8132804291978,517.0
metis_unweighted,79215,18000,0.772770308653664,20514,65366020,6.751405105635894,2317,2190,2250.0,39.35733730830886,67.0,10374,9673,9901.875,203.79918884774787,472.125
metis,63455,16384,0.741801276495154,18230,32201655,10.867322498074548,2109,1988,2048.0,48.176757881783615,61.0,8217,7726,7931.875,144.5479483597052,285.125
spectral,61184,16384,0.7322175732217573,18736,33039200,11.17794157723132,2088,2024,2048.0,26.5329983228432,40.0,7832,7504,7648.0,117.983049630021,184.0
grid,89825,16384,0.8176008906206512,31349,54466259,18.976223339523074,2084,2012,2048.0,22.978250586152114,36.0,11274,11180,11228.125,43.007085172096936,45.875
metis_unweighted,62869,16384,0.7393946141977763,17669,31509640,10.421623442697575,2108,1988,2048.0,40.07181054057828,60.0,8118,7678,7858.625,136.03210788266128,259.375
metis,98484,20736,0.7894480321676618,28184,45815511,18.126836727759994,2669,2516,2592.0,65.43508233356171,77.0,12899,11633,12310.5,358.4560642533475,588.5
grid,100954,20736,0.7945995205737266,33642,54047959,21.92101211931034,2619,2565,2592.0,15.588457268119896,27.0,12673,12562,12619.25,47.198384506251905,53.75
metis_unweighted,100599,20736,0.7938746906032863,27756,45358035,17.75135372681594,2610,2555,2592.0,16.718253497300488,18.0,12854,12421,12574.875,142.51617232791511,279.125
metis,93488,17496,0.8128529864795482,24674,35251190,18.02187686478148,2252,2123,2187.0,45.721985958617324,65.0,11949,11417,11686.0,197.5240491687025,263.0
spectral,91641,17496,0.8090810881592301,24063,34557740,17.47863468073264,2254,2111,2187.0,50.15974481593781,67.0,11549,11315,11455.125,86.02824754114198,93.875
grid,98468,17496,0.8223179103871309,24986,35606602,18.25904409215824,2197,2181,2187.0,5.852349955359813,10.0,12420,12257,12308.5,49.575699692490474,111.5
metis_unweighted,92773,17496,0.8114106474944218,24532,35121780,17.87939333774835,2252,2125,2187.0,49.92995093127971,65.0,11803,11305,11596.625,180.18527790860162,206.375
metis,88075,16384,0.8139767243826285,21361,25255456,18.72692793281429,2109,1988,2048.0,50.7518472570211,61.0,11548,10426,11009.375,460.23715014653044,538.625
spectral,80185,16384,0.7956725073268067,24536,30596348,20.59249590861768,2200,1683,2048.0,202.68941758266513,152.0,10912,8878,10023.125,696.5487128514416,888.875
grid,97252,16384,0.8315304569571834,25874,34146248,20.7675959768896,2456,1688,2048.0,222.13509403063713,408.0,13282,11175,12156.5,678.8466321637017,1125.5
metis_unweighted,83766,16384,0.8044075161760141,22206,27037884,19.019506417189014,2109,1988,2048.0,49.320381182630776,61.0,11286,10100,10470.75,449.9396487308048,815.25
metis,113452,21141,0.8136568769171103,30023,43227023,21.890764186691058,2705,2565,2642.625,46.25996514265872,62.375,14554,13876,14181.5,201.6339505142921,372.5
grid,128451,21141,0.8354158395030011,35863,52414250,25.748299416792975,2804,2518,2642.625,91.5340612832185,161.375,16563,15586,16056.375,357.4685082283473,506.625
metis_unweighted,114187,21141,0.8148563321569006,30104,43595984,21.82562601694959,2719,2566,2642.625,44.62044794710156,76.375,14494,14003,14273.375,184.17243109379862,220.625
metis,72170,20000,0.7228765414992379,22278,77688784,6.570552785121324,2575,2427,2500.0,58.93852729751567,75.0,9353,8807,9021.25,163.9624575931942,331.75
spectral,70200,20000,0.7150997150997151,24300,85156510,7.183786752552847,2530,2480,2500.0,15.811388300841896,30.0,8930,8610,8775.0,101.11874208078342,155.0
grid,103270,20000,0.8063329137213131,28621,99744973,8.41472833897744,2549,2447,2500.0,31.50396800404673,49.0,13218,12607,12908.75,187.47649852714872,309.25
metis_unweighted,73231,20000,0.7268916169381819,23032,81160093,6.735759928582467,2552,2439,2500.0,36.53423052426313,52.0,9362,8945,9153.875,134.76594293440758,208.125
