method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,368521,104272,0.7170527595442322,162799,0.0,0.0,13379,12653,13034.0,289.1483183419886,345.0,47059,45392,46065.125,492.36278228050503,993.875
grid,413630,104272,0.7479099678456592,192032,0.0,0.0,13153,12926,13034.0,65.60487786742691,119.0,52024,51402,51703.75,199.2020017469704,320.25
metis_unweighted,366708,104272,0.7156538717453669,160156,0.0,0.0,13152,12787,13034.0,108.78763716525881,118.0,46656,45010,45838.5,535.2307913414548,817.5
metis,290989,109760,0.6228036111330669,140794,0.0,0.0,14065,13412,13720.0,207.15151459740767,345.0,36904,35885,36373.625,334.20126327558967,530.375
grid,418845,109760,0.7379460182167628,211509,0.0,0.0,13839,13608,13720.0,71.55766905091305,119.0,52611,52099,52355.625,168.69198076672168,255.375
metis_unweighted,292041,109760,0.6241623607644132,142345,0.0,0.0,14056,13433,13720.0,240.5426157669364,336.0,37211,35477,36505.125,497.84195220471327,705.875
metis,265303,111132,0.5811129161750904,68323,0.0,0.0,14176,13560,13891.5,240.7965946603066,284.5,34336,32011,33162.875,773.7994632816697,1173.125
grid,386282,111132,0.712303446704739,114792,0.0,0.0,14107,13560,13891.5,169.87936896515714,215.5,49489,47107,48285.25,729.3853148370894,1203.75
metis_unweighted,265130,111132,0.5808395881265794,67942,0.0,0.0,14222,13810,13891.5,128.8875478857442,330.5,34658,32455,33141.25,661.2015105094664,1516.75
metis,296119,110592,0.6265285240055518,108121,0.0,0.0,14225,13519,13824.0,253.03310060148257,401.0,37505,36375,37014.875,348.98654612319945,490.125
grid,368560,110592,0.6999348817017582,144756,0.0,0.0,14040,13608,13824.0,124.70765814495917,216.0,46573,45552,46070.0,365.11881627766047,503.0
metis_unweighted,291056,110592,0.6200318838986312,105267,0.0,0.0,14215,13420,13824.0,253.48372728836065,391.0,36881,36098,36382.0,333.74503741628877,499.0
metis,249500,101871,0.5916993987975951,70239,0.0,0.0,12960,12596,12733.875,110.77616790176486,226.125,31939,30148,31187.5,658.2917286431601,751.5
grid,379756,101871,0.7317461738590042,119657,0.0,0.0,12937,12565,12733.875,141.90968738955067,203.125,48407,46746,47469.5,462.65591966384693,937.5
metis_unweighted,247814,101871,0.5889215298570702,69198,0.0,0.0,13012,12458,12733.875,166.7441434503773,278.125,31429,30324,30976.75,364.0239518218547,452.25
metis,330931,125952,0.6194010231740151,187443,0.0,0.0,16217,15333,15744.0,341.3326822910458,473.0,42203,40650,41366.375,535.5826120917295,836.625
grid,494214,125952,0.7451468392234942,305992,0.0,0.0,15755,15733,15744.0,6.819090848492928,11.0,61838,61680,61776.75,62.824656783781954,61.25
metis_unweighted,333176,125952,0.6219655677479771,189013,0.0,0.0,15996,15378,15744.0,212.924282316508,252.0,42320,41111,41647.0,450.7485440908268,673.0
metis,375464,109760,0.7076683783265506,140301,0.0,0.0,13726,13714,13720.0,3.640054944640259,6.0,47637,46084,46933.0,477.964433823271,704.0
grid,387648,109760,0.7168565296351329,138440,0.0,0.0,15569,12039,13720.0,1019.6004119261623,1849.0,52933,43667,48456.0,2740.211853123769,4477.0
metis_unweighted,370310,109760,0.70359968674894,140633,0.0,0.0,13939,13400,13720.0,161.99691355084516,219.0,47450,44144,46288.75,1103.346132226873,1161.25
metis,437211,112000,0.7438307819336659,260961,0.0,0.0,14038,13921,14000.0,33.28287848128524,38.0,54996,54455,54651.375,146.3616560954405,344.625
grid,489680,112000,0.7712792027446496,323469,0.0,0.0,14210,13861,14000.0,97.69979529149485,210.0,61431,61014,61210.0,131.40776232780163,221.0
metis_unweighted,440370,112000,0.7456684151963122,264469,0.0,0.0,14219,13801,14000.0,121.24768039018313,219.0,55596,54099,55046.25,482.1254375160058,549.75
metis,423320,121500,0.7129830860814513,323421,0.0,0.0,15643,14854,15187.5,291.76403136781613,455.5,54087,51537,52915.0,826.7043002186452,1172.0
grid,537669,121500,0.7740245392611439,401940,0.0,0.0,15405,14955,15187.5,139.30631715755032,217.5,67891,66481,67208.625,524.4849705901972,682.375
metis_unweighted,426043,121500,0.7148175184195023,323904,0.0,0.0,15643,14869,15187.5,282.338892113715,455.5,54285,52265,53255.375,798.7679477639298,1029.625
metis,283062,112000,0.6043269672368597,74606,0.0,0.0,14369,13703,14000.0,208.630654506954,369.0,36767,34651,35382.75,793.8798319015291,1384.25
grid,362518,112000,0.6910498237328905,152662,0.0,0.0,14043,13950,14000.0,30.36856927812043,43.0,45398,45206,45314.75,65.52623520392423,83.25
metis_unweighted,284500,112000,0.6063268892794376,75201,0.0,0.0,14409,13654,14000.0,224.99333323456497,409.0,36960,34919,35562.5,645.3768279075412,1397.5
