method,core_n,n
metis,12904,38110
metis,12875,37950
metis,12818,37852
metis,12717,37933
metis,13425,39207
metis,13352,39274
metis,12939,39139
metis,13242,39146
grid,13149,41310
grid,13032,41149
grid,13060,41075
grid,12978,41024
grid,13099,41261
grid,13015,41182
grid,13024,41094
grid,12915,40974
metis_unweighted,13022,39626
metis_unweighted,12991,38672
metis_unweighted,13075,38955
metis_unweighted,12996,38781
metis_unweighted,13076,38475
metis_unweighted,13088,38634
metis_unweighted,12798,37114
metis_unweighted,13226,38788
metis,13741,30292
metis,13659,30327
metis,13535,30269
metis,14132,31377
metis,13542,30128
metis,14120,31179
metis,13706,30031
metis,13325,30649
grid,13839,43071
grid,13734,42995
grid,13797,43071
grid,13706,42991
grid,13741,42494
grid,13636,42442
grid,13699,42491
grid,13608,42410
metis_unweighted,13666,30408
metis_unweighted,13874,30149
metis_unweighted,13818,30466
metis_unweighted,13717,30661
metis_unweighted,13613,30009
metis_unweighted,13943,30239
metis_unweighted,13420,30023
metis_unweighted,13709,30243
metis,13913,32392
metis,13650,31844
metis,13751,31688
metis,14307,31988
metis,13595,31074
metis,14308,32725
metis,13508,31530
metis,14100,32939
grid,14107,49420
grid,13886,48602
grid,14042,50482
grid,13825,49692
grid,14076,50286
grid,13854,49348
grid,13782,49048
grid,13560,48136
metis_unweighted,13982,31604
metis_unweighted,13705,31744
metis_unweighted,14122,32170
metis_unweighted,13860,31542
metis_unweighted,13983,31522
metis_unweighted,13710,31635
metis_unweighted,13971,32288
metis_unweighted,13799,31361
metis,13652,33331
metis,13420,32570
metis,13668,32999
metis,13909,33323
metis,14203,33364
metis,14172,33794
metis,13637,33640
metis,13931,32814
grid,14040,41142
grid,13896,40536
grid,13896,41001
grid,13752,40395
grid,13896,40740
grid,13752,40143
grid,13752,40525
grid,13608,39928
metis_unweighted,14143,33428
metis_unweighted,14014,32872
metis_unweighted,13661,32736
metis_unweighted,14129,33025
metis_unweighted,13515,32700
metis_unweighted,13520,32659
metis_unweighted,13520,32306
metis_unweighted,14090,33553
metis,12996,32737
metis,12768,32309
metis,12511,31351
metis,12826,31729
metis,12399,31069
metis,12618,31791
metis,13069,31577
metis,12684,31868
grid,12824,47250
grid,12549,46746
grid,12977,47014
grid,12561,46426
grid,12958,47943
grid,12528,46235
grid,12898,47500
grid,12576,46219
metis_unweighted,12922,31330
metis_unweighted,12755,31008
metis_unweighted,12910,31659
metis_unweighted,12635,30905
metis_unweighted,12662,31013
metis_unweighted,12634,31193
metis_unweighted,12652,31413
metis_unweighted,12701,30991
metis,15570,35866
metis,15751,35809
metis,15606,35727
metis,15680,35758
metis,15513,35300
metis,16045,36764
metis,16217,36696
metis,15570,35548
grid,15755,49731
grid,15745,49723
grid,15748,49710
grid,15734,49648
grid,15747,49728
grid,15744,49732
grid,15746,49699
grid,15733,49650
metis_unweighted,15952,36205
metis_unweighted,15684,35606
metis_unweighted,16204,36756
metis_unweighted,15689,35403
metis_unweighted,16063,35878
metis_unweighted,15372,35491
metis_unweighted,15348,35237
metis_unweighted,15640,35329
metis,13583,38846
metis,13754,38870
metis,13524,38432
metis,13499,39231
metis,14109,39995
metis,13975,39249
metis,13669,40653
metis,13647,39824
grid,15569,47617
grid,14279,44287
grid,14279,44287
grid,13105,41409
grid,14279,44287
grid,13105,41409
grid,13105,41409
grid,12039,39119
metis_unweighted,13323,39666
metis_unweighted,13327,39500
metis_unweighted,13323,39198
metis_unweighted,13322,40133
metis_unweighted,14097,39846
metis_unweighted,14132,40074
metis_unweighted,14113,39546
metis_unweighted,14123,39402
metis,13853,39917
metis,13597,38590
metis,13871,40308
metis,13893,39036
metis,13826,38547
metis,14420,40273
metis,14356,40341
metis,14184,39378
grid,14252,44887
grid,14003,44301
grid,14075,43863
grid,13860,43948
grid,14123,44433
grid,13925,44089
grid,13980,43776
grid,13782,43688
metis_unweighted,14002,39342
metis_unweighted,13996,39114
metis_unweighted,14003,39658
metis_unweighted,14000,38800
metis_unweighted,13999,38722
metis_unweighted,14002,38576
metis_unweighted,14001,39346
metis_unweighted,13997,38762
metis,15643,39272
metis,14810,38157
metis,14958,38532
metis,15034,38354
metis,15304,38284
metis,15643,38491
metis,14754,38110
metis,15354,38683
grid,15405,45444
grid,15210,44810
grid,15315,45022
grid,15045,44052
grid,15270,44481
grid,15090,44085
grid,15210,44376
grid,14955,43600
metis_unweighted,15439,38643
metis_unweighted,14875,37499
metis_unweighted,15620,38853
metis_unweighted,15156,37947
metis_unweighted,15111,38093
metis_unweighted,15115,38078
metis_unweighted,14744,37325
metis_unweighted,15440,38154
metis,14420,35953
metis,14152,36394
metis,13865,35332
metis,14402,37048
metis,13630,34587
metis,13591,34997
metis,13658,34702
metis,14282,35610
grid,14113,42948
grid,14118,43006
grid,13923,42192
grid,13928,42250
grid,14090,42905
grid,14079,42887
grid,13878,42105
grid,13871,42097
metis_unweighted,13769,34977
metis_unweighted,13606,34555
metis_unweighted,14376,36811
metis_unweighted,14213,34906
metis_unweighted,14420,35390
metis_unweighted,14420,35797
metis_unweighted,13591,35072
metis_unweighted,13605,34502
