method,core_n,n
metis,2143,9176
metis,2155,9607
metis,2146,9488
metis,2183,9781
metis,2156,9333
metis,2157,9423
metis,2168,9390
metis,2172,9607
spectral,2208,9182
spectral,2140,9011
spectral,2181,8994
spectral,2182,9066
spectral,2109,8966
spectral,2202,9204
spectral,2132,9001
spectral,2126,8828
grid,2201,11406
grid,2142,10753
grid,2169,11197
grid,2146,10953
grid,2171,11205
grid,2149,10971
grid,2156,11067
grid,2146,10814
metis_unweighted,2160,9688
metis_unweighted,2161,9539
metis_unweighted,2173,9801
metis_unweighted,2163,9765
metis_unweighted,2155,9582
metis_unweighted,2158,9616
metis_unweighted,2155,9478
metis_unweighted,2155,9423
metis,2489,13295
metis,2626,13295
metis,2518,13477
metis,2550,13151
metis,2602,13562
metis,2558,13415
metis,2592,13293
metis,2477,12999
grid,2570,16917
grid,2533,16742
grid,2588,17195
grid,2533,16918
grid,2597,17208
grid,2569,16936
grid,2532,16715
grid,2490,16470
metis_unweighted,2628,13353
metis_unweighted,2628,13483
metis_unweighted,2628,13638
metis_unweighted,2605,13851
metis_unweighted,2490,13517
metis_unweighted,2478,14396
metis_unweighted,2478,15385
metis_unweighted,2477,15625
metis,2486,13952
metis,2463,13872
metis,2489,14029
metis,2482,13931
metis,2474,13975
metis,2563,14120
metis,2549,14194
metis,2494,13968
spectral,2500,15500
spectral,2490,15590
spectral,2510,15470
spectral,2520,15410
spectral,2470,15580
spectral,2530,15490
spectral,2490,15320
spectral,2490,15510
grid,2525,19765
grid,2477,19733
grid,2525,19765
grid,2474,19726
grid,2525,19765
grid,2477,19728
grid,2525,19765
grid,2472,19726
metis_unweighted,2575,14182
metis_unweighted,2482,13970
metis_unweighted,2490,13981
metis_unweighted,2494,13941
metis_unweighted,2494,14018
metis_unweighted,2498,14005
metis_unweighted,2507,13972
metis_unweighted,2460,14055
metis,1946,12320
metis,1946,12347
metis,1958,12643
metis,2064,12654
metis,2064,12703
metis,2064,12670
metis,2050,12519
metis,1946,12520
spectral,1980,12249
spectral,1998,12465
spectral,2025,12348
spectral,2007,12375
spectral,1998,12276
spectral,1989,12438
spectral,2043,12420
spectral,1998,12294
grid,2103,15208
grid,2073,15299
grid,2019,15182
grid,1986,15146
grid,2028,15182
grid,1977,15033
grid,1950,14993
grid,1902,14900
metis_unweighted,1988,12335
metis_unweighted,2020,12533
metis_unweighted,2002,12922
metis_unweighted,1988,12623
metis_unweighted,2064,12571
metis_unweighted,1952,12327
metis_unweighted,2063,12394
metis_unweighted,1961,12204
metis,2506,12546
metis,2493,12566
metis,2496,12576
metis,2529,12619
metis,2441,12439
metis,2427,12248
metis,2575,12538
metis,2533,12691
spectral,2500,13360
