method,core_n,n
metis,26545,47769
metis,26084,47478
metis,25627,47215
metis,26851,47599
metis,25920,46912
metis,25765,47525
metis,26445,47264
metis,25307,46744
grid,26086,71453
grid,26050,71278
grid,26088,71480
grid,26050,71289
grid,26089,71480
grid,26048,71278
grid,26089,71511
grid,26044,71278
metis_unweighted,26167,47945
metis_unweighted,25517,47245
metis_unweighted,25565,46857
metis_unweighted,26215,47303
metis_unweighted,26287,47964
metis_unweighted,26181,48159
metis_unweighted,25999,47169
metis_unweighted,26613,47636
metis,26059,48585
metis,25623,48624
metis,26416,49387
metis,25923,49460
metis,26182,49176
metis,25396,48964
metis,26419,49425
metis,25342,48446
grid,25950,73343
grid,25908,73098
grid,25918,73349
grid,25908,73098
grid,25937,73347
grid,25920,73253
grid,25899,73186
grid,25920,73253
metis_unweighted,26134,49840
metis_unweighted,26542,50319
metis_unweighted,26505,49352
metis_unweighted,25464,48999
metis_unweighted,25804,49186
metis_unweighted,25234,48814
metis_unweighted,25894,48957
metis_unweighted,25783,48944
metis,28198,59921
metis,28166,59798
metis,27314,58480
metis,27306,58272
metis,27143,58212
metis,27345,58297
metis,26624,57937
metis,26910,57497
grid,27428,69819
grid,27338,69154
grid,27361,69052
grid,27390,69496
grid,27391,69496
grid,27349,68977
grid,27347,69192
grid,27402,69720
metis_unweighted,27161,59885
metis_unweighted,27727,60235
metis_unweighted,26996,59612
metis_unweighted,28035,60716
metis_unweighted,27413,59169
metis_unweighted,26796,58458
metis_unweighted,27477,59384
metis_unweighted,27401,59203
metis,25439,61883
metis,25038,60690
metis,24555,61165
metis,25542,62651
metis,24376,60907
metis,25328,62643
metis,25392,61697
metis,24330,60269
grid,25102,63305
grid,24900,63041
grid,25100,63309
grid,24900,63033
grid,25104,63351
grid,24901,63043
grid,25094,63308
grid,24899,63031
metis_unweighted,25231,61564
metis_unweighted,25164,61090
metis_unweighted,24967,61221
metis_unweighted,25086,61778
metis_unweighted,24972,61691
metis_unweighted,25185,62016
metis_unweighted,24944,62767
metis_unweighted,24451,61232
metis,28264,63917
metis,27431,63168
metis,27498,63627
metis,27886,62667
metis,26911,62224
metis,27805,62980
metis,27086,62437
metis,26639,61414
grid,27486,73451
grid,27508,73475
grid,27429,73117
grid,27422,73113
grid,27453,73438
grid,27455,73434
grid,27403,73108
grid,27364,73090
metis_unweighted,27629,61965
metis_unweighted,28264,61766
metis_unweighted,28264,62343
metis_unweighted,28156,62207
metis_unweighted,26728,60368
metis_unweighted,27123,61407
metis_unweighted,26662,60796
metis_unweighted,26694,60485
metis,26765,49093
metis,27306,49630
metis,27013,49551
metis,27331,49733
metis,27165,49786
metis,26860,49254
metis,27167,49841
metis,26393,48916
grid,28455,73858
grid,27975,72645
grid,27210,71236
grid,26790,70637
grid,27375,72498
grid,26895,71118
grid,25860,68853
grid,25440,68031
metis_unweighted,27038,48941
metis_unweighted,27113,48868
metis_unweighted,26978,49081
metis_unweighted,27186,48993
metis_unweighted,26970,48737
metis_unweighted,26978,49040
metis_unweighted,26645,48748
metis_unweighted,27092,49026
metis,25490,63305
metis,25565,63577
metis,25512,62430
metis,25902,63537
metis,24733,61821
metis,25737,63178
metis,25149,63347
metis,25654,63418
grid,25859,69921
grid,25506,68883
grid,25884,70103
grid,25389,68828
grid,25362,69009
grid,25159,68686
grid,25385,68705
grid,25198,68465
metis_unweighted,25212,62354
metis_unweighted,25829,62927
metis_unweighted,26010,64352
metis_unweighted,25842,63137
metis_unweighted,25203,63800
metis_unweighted,25220,62086
metis_unweighted,25215,62763
metis_unweighted,25211,62500
metis,28166,49405
metis,28781,50217
metis,27207,47483
metis,27253,47710
metis,27880,48930
metis,28717,49561
metis,27743,48284
metis,28253,49806
grid,28100,90402
grid,27900,90149
grid,28101,90355
grid,27902,90145
grid,28101,90355
grid,27900,90133
grid,28098,90338
grid,27898,90159
metis_unweighted,28240,48904
metis_unweighted,28292,49087
metis_unweighted,28602,49620
metis_unweighted,27587,48197
metis_unweighted,27850,48750
metis_unweighted,27802,48702
metis_unweighted,27812,48081
metis_unweighted,27815,48519
metis,27861,61151
metis,28198,61941
metis,27814,61869
metis,27891,61704
metis,26944,60420
metis,26874,61388
metis,26609,62127
metis,26815,62148
grid,27537,68438
grid,27778,67617
grid,27226,67805
grid,27491,67461
grid,27226,67653
grid,27491,67309
grid,26985,67555
grid,27272,67513
metis_unweighted,26879,60459
metis_unweighted,26908,59433
metis_unweighted,26938,59637
metis_unweighted,26994,59887
metis_unweighted,27865,61567
metis_unweighted,27848,61824
metis_unweighted,27721,61256
metis_unweighted,27853,62078
metis,25091,54961
metis,25434,54917
metis,25919,55645
metis,26388,56368
metis,26145,56030
metis,25963,56477
metis,25733,56343
metis,26090,56348
grid,26922,75732
grid,25643,74138
grid,26386,75307
grid,25273,73921
grid,26423,75163
grid,25239,73565
grid,26034,75281
grid,24843,73798
metis_unweighted,26177,56301
metis_unweighted,25743,55371
metis_unweighted,25774,56103
metis_unweighted,25754,56064
metis_unweighted,25938,55371
metis_unweighted,26002,55759
metis_unweighted,25634,55155
metis_unweighted,25741,55640
