method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,468100,210912,0.5494296090578936,132631,233686633,78.0829423833232,27030,25738,26364.0,432.2733510176171,666.0,60224,57281,58512.5,992.3989873029899,1711.5
grid,519353,210912,0.5938947113042574,154839,271573424,92.3922274782097,26936,25792,26364.0,370.328907864347,572.0,65466,64375,64919.125,375.17343905852397,546.875
metis_unweighted,463901,210912,0.5453512710686116,128914,227910926,75.57987550599532,26450,26274,26364.0,81.17419540716126,86.0,58819,57378,57987.625,528.6501531022194,831.375
metis,472241,226347,0.5206960005590366,124675,254796910,64.23284510863513,29143,27605,28293.375,568.9472597482126,849.625,60152,58018,59030.125,727.0556095478529,1121.875
grid,558527,226347,0.5947429578158263,168288,349659398,84.58431564714198,28497,28078,28293.375,150.7091051496226,203.625,70370,69452,69815.875,268.92491400946847,554.125
metis_unweighted,470834,226347,0.5192636895381387,123450,253805018,63.19809556233729,29090,27684,28293.375,534.8866556336959,796.625,60372,57697,58854.25,788.9790475671708,1517.75
metis,387241,224094,0.42130611169788323,106570,251758754,48.80393591118403,28853,27264,28011.75,519.7847511230009,841.25,49106,47947,48405.125,424.5136739552685,700.875
grid,627025,224094,0.642607551533033,208777,507099054,90.33058478587131,28182,27770,28011.75,131.88418214478943,170.25,78711,77719,78378.125,372.81109073497265,332.875
metis_unweighted,387690,224094,0.4219763212876267,106849,253126567,48.80290844946771,28852,27442,28011.75,411.13524234733273,840.25,49396,47240,48461.25,682.275558334021,934.75
metis,441485,225998,0.4880958582964314,104462,236624694,48.64453399268381,29098,27605,28249.75,573.3623963079546,848.25,56640,54576,55185.625,677.8613312285928,1454.375
grid,575952,225998,0.6076096619162707,183878,410300686,87.18279702278629,28685,27968,28249.75,218.48612656184832,435.25,72905,70950,71994.0,642.041470623199,911.0
metis_unweighted,443401,225998,0.4903078703025027,104387,237957952,48.23193784020071,28762,27567,28249.75,471.3861872180813,512.25,56135,54096,55425.125,628.3123103799575,709.875
metis,440448,203742,0.537420989537925,113793,204321015,65.8728330300336,26233,24878,25467.75,531.0051200318129,765.25,57505,52206,55056.0,1452.4000826218648,2449.0
grid,508863,203742,0.5996132554341739,145857,266517316,83.19891729286572,25515,25415,25467.75,30.161026176176435,47.25,63803,63425,63607.875,127.63663022424244,195.125
metis_unweighted,439030,203742,0.5359269298225634,112180,202670338,64.52583446207935,26082,24992,25467.75,484.3843386196544,614.25,57049,53470,54878.75,1275.2315230968845,2170.25
metis,466779,222264,0.5238346198093745,127518,214987751,78.2582145632318,28617,27110,27783.0,587.804814543059,834.0,59970,56449,58347.375,1065.3389058769046,1622.625
grid,546718,222264,0.5934576875098314,156356,260910985,97.58452178019523,28114,27554,27783.0,172.52898307241017,331.0,69467,67421,68339.75,693.4065816676389,1127.25
metis_unweighted,464110,222264,0.5210962918273685,125484,212846478,76.48366313376818,28238,27278,27783.0,304.07030437055175,455.0,59469,57043,58013.75,720.086583335643,1455.25
metis,479641,212960,0.5560012592751662,129932,222343032,78.85823867063262,27419,26001,26620.0,534.4127618236676,799.0,61175,58415,59955.125,925.3952449494216,1219.875
grid,541189,212960,0.6064960669932316,166104,282083378,102.20787802240045,26806,26443,26620.0,112.4544352171136,186.0,67756,67520,67648.625,73.79521918796637,107.375
metis_unweighted,476090,212960,0.5526896175092945,127859,219625317,77.23137804344825,27071,26482,26620.0,184.92701262930734,451.0,60997,58598,59511.25,759.584055585687,1485.75
metis,579193,232000,0.599442672822358,153324,220836816,111.4952657254695,29871,28222,29000.0,695.2643382196443,871.0,74561,71104,72399.125,1276.5736795716102,2161.875
grid,602525,232000,0.6149537363594871,157309,226456725,114.71641418253684,29212,28831,29000.0,113.88481022506909,212.0,75762,74247,75315.625,432.8134521650176,446.375
metis_unweighted,571556,232000,0.5940905178145274,150197,217644074,108.5880273905436,29679,28222,29000.0,612.0847572027914,679.0,72520,69600,71444.5,1015.5578516263857,1075.5
metis,488978,203056,0.5847338735076015,130227,197121259,89.7144497540155,26144,24650,25382.0,516.7862227265739,762.0,62142,59626,61122.25,735.1569135225486,1019.75
grid,525598,203056,0.6136667186709234,156604,244101973,104.57675350234227,25452,25317,25382.0,52.16799785308997,70.0,65796,65619,65699.75,67.69001034126084,96.25
metis_unweighted,474066,203056,0.5716714550294685,130493,198998411,89.15328298713658,26039,24641,25382.0,489.7563169577295,657.0,60289,58402,59258.25,587.9395695987811,1030.75
metis,451173,210912,0.5325252175994574,117544,164089138,87.43744255414477,27156,25659,26364.0,559.1151491419276,792.0,57185,55749,56396.625,589.1466153471476,788.375
grid,538543,210912,0.6083655344141508,138174,191042706,103.85315535606172,27742,25038,26364.0,1041.9481752947218,1378.0,70234,64610,67317.875,2006.800528048316,2916.125
metis_unweighted,439969,210912,0.5206207710088665,108553,152377001,80.48337633786494,26848,25598,26364.0,492.95334464835514,484.0,56248,54159,54996.125,665.1513807961312,1251.875
