method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,243113,108000,0.5557621353033363,49777,0.0,0.0,13506,13494,13500.0,4.153311931459037,6.0,30746,30005,30389.125,240.31668559423835,356.875
grid,271690,108000,0.6024881298538776,63214,0.0,0.0,13722,13391,13500.0,97.35373644601424,222.0,34661,33759,33961.25,295.11216088124866,699.75
metis_unweighted,238425,108000,0.5470273670965713,48229,0.0,0.0,13504,13493,13500.0,3.5,4.0,30273,29429,29803.125,233.55162036474934,469.875
metis,241914,111132,0.5406136064882562,57283,0.0,0.0,14268,13488,13891.5,261.1197043503228,376.5,30806,29499,30239.25,465.585585580138,566.75
grid,377566,111132,0.7056620564351663,133368,0.0,0.0,14064,13729,13891.5,118.81182601071326,172.5,48017,46483,47195.75,549.7758065793729,821.25
metis_unweighted,247507,111132,0.5509945173267827,59135,0.0,0.0,14284,13486,13891.5,297.05386716890257,392.5,32323,30246,30938.375,715.1966403549446,1384.625
metis,197300,102885,0.47853522554485556,62866,0.0,0.0,13247,12485,12860.625,299.9612214520404,386.375,25469,23805,24662.5,556.9829440835689,806.5
grid,400501,102885,0.7431092556572892,195799,0.0,0.0,13065,12634,12860.625,145.71370688785595,204.375,50753,49356,50062.625,476.98111532323793,690.375
metis_unweighted,197420,102885,0.478852193293486,62637,0.0,0.0,13247,12485,12860.625,249.13497220382368,386.375,25209,24354,24677.5,285.7363295067675,531.5
metis,409671,109760,0.7320776916110733,253661,0.0,0.0,13752,13699,13720.0,15.858751527153705,32.0,51931,50703,51208.875,385.8845155937201,722.125
grid,399868,109760,0.7255094181079756,270352,0.0,0.0,14743,12781,13720.0,588.500637212909,1023.0,52835,47813,49983.5,1531.6709013361844,2851.5
metis_unweighted,401011,109760,0.7262917974818646,255878,0.0,0.0,14132,13319,13720.0,329.73246731251686,412.0,51794,47586,50126.375,1560.235874595569,1667.625
metis,341039,106480,0.6877776441990505,117472,0.0,0.0,13589,13032,13310.0,210.56709144593322,279.0,43695,41718,42629.875,591.4265460520013,1065.125
grid,363161,106480,0.7067967099991463,134557,0.0,0.0,13357,13235,13310.0,41.00914532150115,47.0,45547,45112,45395.125,137.81458331758654,151.875
metis_unweighted,339416,106480,0.6862846772102671,116403,0.0,0.0,13655,13004,13310.0,206.4182646957386,345.0,43343,41167,42427.0,715.9916200626932,916.0
metis,341702,106480,0.6883834452242013,181474,0.0,0.0,13665,13056,13310.0,190.51574738062993,355.0,43162,42474,42712.75,235.59485881487313,449.25
grid,409611,106480,0.7400460436853502,223726,0.0,0.0,13511,13115,13310.0,117.80174022483709,201.0,51543,50913,51201.375,226.16141221481618,341.625
metis_unweighted,343944,106480,0.6904147186751332,181599,0.0,0.0,13657,13005,13310.0,210.96030432287492,347.0,43345,42715,42993.0,218.66869917754576,352.0
metis,281824,109760,0.6105370727830135,114785,0.0,0.0,14132,13321,13720.0,290.9046235452438,412.0,35784,34578,35228.0,384.95097090408797,556.0
grid,397844,109760,0.7241129689023839,165212,0.0,0.0,13811,13608,13720.0,62.413940750444524,91.0,49865,49600,49730.5,102.05023272878901,134.5
metis_unweighted,282393,109760,0.6113218103848184,115210,0.0,0.0,14132,13319,13720.0,361.6230772503326,412.0,35867,34344,35299.125,513.4540966581142,567.875
metis,459201,109744,0.7610109734081589,320139,0.0,0.0,14065,13348,13718.0,230.21240192483114,347.0,58739,56457,57400.125,701.8159369628194,1338.875
grid,503523,109744,0.7820476919624327,412849,0.0,0.0,13907,13543,13718.0,126.00297615532737,189.0,63851,62300,62940.375,598.4168566935593,910.625
metis_unweighted,460993,109744,0.7619399860735413,320340,0.0,0.0,13894,13509,13718.0,126.1269202034205,176.0,58378,56856,57624.125,426.4649567959834,753.875
metis,266078,106480,0.5998165951337577,76967,0.0,0.0,13530,13091,13310.0,191.81762171396036,220.0,34025,32854,33259.75,371.7212497288795,765.25
grid,317725,106480,0.6648674167912503,118256,0.0,0.0,13442,13167,13310.0,121.7476899164826,132.0,39849,39593,39715.625,109.63454918500828,133.375
metis_unweighted,264919,106480,0.598065823893341,77438,0.0,0.0,13379,13280,13310.0,38.96793553679743,69.0,33721,32635,33114.875,322.0560655770979,606.125
metis,354143,112000,0.6837435725116691,214197,0.0,0.0,14420,13591,14000.0,342.6521559832945,420.0,45785,43140,44267.875,996.1172668792566,1517.125
grid,484539,112000,0.7688524556330862,294984,0.0,0.0,14316,13709,14000.0,202.52160378586774,316.0,61420,59902,60567.375,492.5865247598639,852.625
metis_unweighted,356858,112000,0.6861496729791682,217767,0.0,0.0,14302,13591,14000.0,321.92662207403725,302.0,46075,43218,44607.25,860.2237717594185,1467.75
