method,core_n,n
metis,2561,10529
metis,2649,10641
metis,2602,10422
metis,2497,10753
metis,2649,10632
metis,2627,10309
metis,2497,11767
metis,2498,10244
grid,2609,15969
grid,2557,15927
grid,2647,16347
grid,2540,15891
grid,2595,16004
grid,2606,16398
grid,2537,15797
grid,2489,15690
metis_unweighted,2648,10497
metis_unweighted,2581,10884
metis_unweighted,2649,10821
metis_unweighted,2498,11488
metis_unweighted,2553,11093
metis_unweighted,2642,10401
metis_unweighted,2512,10821
metis_unweighted,2497,11154
metis,2261,9492
metis,2362,9616
metis,2304,9374
metis,2353,9539
metis,2380,9571
metis,2328,9588
metis,2329,9782
metis,2317,9642
spectral,1837,8481
spectral,1892,8602
spectral,3135,9108
spectral,2244,9218
spectral,2310,9317
spectral,1892,8723
spectral,3311,9196
spectral,2013,8910
grid,2365,14473
grid,2310,14182
grid,2389,14465
grid,2319,14244
grid,2344,14543
grid,2287,14148
grid,2340,14487
grid,2280,14183
metis_unweighted,2362,9652
metis_unweighted,2390,9679
metis_unweighted,2285,9380
metis_unweighted,2315,9548
metis_unweighted,2366,9464
metis_unweighted,2341,10018
metis_unweighted,2268,9482
metis_unweighted,2307,9631
metis,2064,6296
metis,1946,6278
metis,1946,6196
metis,2064,6345
metis,1946,6260
metis,2058,6316
metis,1950,6252
metis,2064,6300
spectral,1854,6039
spectral,1782,5913
spectral,2025,6075
spectral,2106,6318
spectral,2187,6318
spectral,2268,6480
spectral,1872,6066
spectral,1944,6156
grid,2008,12117
grid,1970,11814
grid,2047,12128
grid,1985,11794
grid,2048,12127
grid,2020,11858
grid,1997,12124
grid,1963,11825
metis_unweighted,2064,6298
metis_unweighted,1946,6165
metis_unweighted,1982,6220
metis_unweighted,2064,6373
metis_unweighted,2025,6327
metis_unweighted,2025,6228
metis_unweighted,1986,6221
metis_unweighted,1946,6303
metis,2758,8199
metis,2806,8219
metis,2920,8167
metis,2802,7991
metis,2861,8127
metis,2918,8244
metis,2808,8044
metis,2807,8134
grid,2859,15719
grid,2841,15606
grid,2838,15718
grid,2820,15605
grid,2847,15719
grid,2829,15606
grid,2832,15718
grid,2814,15605
metis_unweighted,2803,8356
metis_unweighted,2920,8011
metis_unweighted,2787,8423
metis_unweighted,2752,8409
metis_unweighted,2783,8057
metis_unweighted,2901,8174
metis_unweighted,2920,8162
metis_unweighted,2814,7990
metis,1931,6447
metis,1931,6250
metis,1931,6467
metis,1904,6490
metis,1838,6110
metis,1820,6240
metis,1824,6585
metis,1821,6235
spectral,1950,6300
spectral,2040,6550
spectral,2000,6330
spectral,1930,6260
spectral,1930,6260
spectral,1710,5660
spectral,1730,5620
spectral,1710,5710
grid,1895,9784
grid,1889,9800
grid,1879,9482
grid,1869,9503
grid,1876,9487
grid,1857,9455
grid,1873,9449
grid,1862,9455
metis_unweighted,1820,6154
metis_unweighted,1821,6253
metis_unweighted,1918,6345
metis_unweighted,1823,6301
metis_unweighted,1908,6350
metis_unweighted,1857,6177
metis_unweighted,1922,6158
metis_unweighted,1931,6284
metis,2626,8270
metis,2497,8083
metis,2618,8422
metis,2545,8174
metis,2497,8190
metis,2649,8357
metis,2551,8090
metis,2597,8405
grid,2632,12613
grid,2608,12580
grid,2562,12501
grid,2537,12429
grid,2583,12646
grid,2558,12580
grid,2562,12560
grid,2538,12398
metis_unweighted,2497,8212
metis_unweighted,2614,8198
metis_unweighted,2615,8443
metis_unweighted,2548,8492
metis_unweighted,2550,8298
metis_unweighted,2604,8243
metis_unweighted,2649,8370
metis_unweighted,2503,8064
metis,2160,8549
metis,2160,9119
metis,2159,9090
metis,2159,9112
metis,2158,8536
metis,2163,8756
metis,2152,8732
metis,2169,8765
spectral,2145,8795
spectral,2166,8854
spectral,2132,8759
spectral,2154,8809
spectral,2174,8867
spectral,2158,8759
spectral,2170,8838
spectral,2181,8926
grid,2188,8982
grid,2172,8900
grid,2142,8966
grid,2142,8850
grid,2180,8894
grid,2172,8900
grid,2142,8966
grid,2142,8850
metis_unweighted,2152,8799
metis_unweighted,2133,8916
metis_unweighted,2174,9065
