method,node_count,root_node_count,extended_ratio,cut_edges,cut_weight_sum,inverse_cut_weight_sum,core_max,core_min,core_mean,core_std,core_range,ext_max,ext_min,ext_mean,ext_std,ext_range
metis,1540896,1067742,0.3070642016073764,198816,345774720,116.65712726972777,135128,132392,133467.75,825.4248527273697,1660.25,195298,190305,192612.0,1408.3536487686606,2686.0
grid,2263435,1067742,0.5282647833933822,662423,1171847111,392.3953335381594,133536,133417,133467.75,48.05920827479371,68.25,283378,282246,282929.375,447.8308658131997,448.625
metis_unweighted,1550195,1067742,0.3112208464096452,207452,361540163,121.70872606168952,134811,131441,133467.75,1213.7837276467335,1343.25,196370,191895,193774.375,1839.801004015108,2595.625
metis,1866690,1042685,0.4414257321783478,410957,1174204450,153.01123757424102,132517,128187,130335.625,1419.0248357146538,2181.375,237538,230293,233336.25,2759.92136436892,4201.75
grid,1974775,1042685,0.4719980757301464,507625,1472103584,184.4041891403212,130906,129740,130335.625,395.6845136911476,570.375,247402,246451,246846.875,357.6095767383754,555.125
metis_unweighted,1865733,1042685,0.4411392198133387,397567,1149585596,145.59479966714213,131743,128363,130335.625,1131.7050120835377,1407.375,235982,228974,233216.625,2107.446377579985,2765.375
metis,1686329,1072476,0.3640173418117105,353895,801339296,163.5638299161338,137889,132266,134059.5,1680.851941724791,3829.5,212596,208128,210791.125,1404.301199663021,1804.875
grid,1963694,1072476,0.4538476972481456,490384,1146232251,216.64890851595737,135114,133191,134059.5,592.8625473075525,1054.5,248451,243129,245461.75,1631.985428090582,2989.25
metis_unweighted,1662493,1072476,0.3548989379203401,339429,773161376,155.96762012739592,134734,133558,134059.5,348.99641831973,674.5,208592,207221,207811.625,396.5286677845626,780.375
metis,1684559,1053696,0.3744974203931118,365141,468446507,297.96570103539653,134158,128276,131712.0,1941.4732807844664,2446.0,214391,206609,210569.875,2546.076611057688,3821.125
grid,1876902,1053696,0.4385982858987842,426372,592376698,322.03772173811626,135125,128293,131712.0,2565.0607205288534,3413.0,239824,229499,234612.75,3735.508691932064,5211.25
metis_unweighted,1648024,1053696,0.3606306704271297,356022,478109105,278.15636826645385,131727,131702,131712.0,8.12403840463596,15.0,209870,203965,206003.0,1919.2749933243024,3867.0
metis,1403985,1022976,0.2713768309490486,216983,613910749,79.3298635078462,128897,126310,127872.0,698.6306248655294,1025.0,177493,174838,175498.125,804.5466794257496,1994.875
grid,1954408,1022976,0.4765801204252131,457336,1322175633,162.85766084115326,128304,127440,127872.0,249.41531628991837,432.0,245143,243435,244301.0,540.6200144278789,842.0
metis_unweighted,1405682,1022976,0.2722564562966588,224030,636261618,81.73326796469067,128709,127284,127872.0,525.4540893360713,837.0,176517,174914,175710.25,534.707104403897,806.75
metis,1826823,1037232,0.4322208555508662,430671,593165383,324.0884244368897,130774,128517,129654.0,671.9445661659896,1120.0,231761,223609,228352.875,2182.0197889512824,3408.125
grid,1948463,1037232,0.4676665659034839,502798,694447890,377.1209201458532,130058,129202,129654.0,338.97271276608683,404.0,244259,242718,243557.875,616.1924288523837,701.125
metis_unweighted,1812802,1037232,0.4278294044247524,433866,599787418,325.17248314222775,130374,128799,129654.0,507.5509826608555,720.0,229168,223446,226600.25,1572.127598988072,2567.75
metis,1648867,1024338,0.3787625078311349,339050,1078466348,110.5105230818102,129933,126593,128042.25,1127.958637317876,1890.75,208639,203195,206108.375,1858.5252175784435,2530.625
grid,1865562,1024338,0.4509225638172304,485655,1529450737,163.98773524480285,128636,127418,128042.25,399.9952343466107,593.75,233761,232951,233195.25,300.0178119712228,565.75
metis_unweighted,1634346,1024338,0.373242875131704,333769,1068729490,107.88722591790984,130084,125725,128042.25,1413.5893807962764,2041.75,207443,200678,204293.25,1763.368349920118,3149.75
metis,1760449,1102248,0.373882458395557,335625,819618304,143.79522127867247,140449,135732,137781.0,1564.8276262898737,2668.0,226806,216133,220056.125,3660.0881969393854,6749.875
grid,1973556,1102248,0.4414913992812973,429837,1086560120,175.23993091351767,138056,137490,137781.0,196.54961205761765,275.0,247185,246202,246694.5,367.5176866492278,490.5
metis_unweighted,1757541,1102248,0.3728464940504944,329277,812017693,139.20472936403343,138749,137205,137781.0,603.3543734821187,968.0,221830,218147,219692.625,1326.3739044383374,2137.375
metis,1716080,1078110,0.3717600578061629,342495,952240664,130.13627604869745,136240,133801,134763.75,837.4756339739085,1476.25,215728,212513,214510.0,990.671741799472,1218.0
grid,1975541,1078110,0.4542710072835745,516232,1459059787,192.80357899080283,136695,132882,134763.75,1122.6673316258918,1931.25,248712,245156,246942.625,1168.1228464399624,1769.375
metis_unweighted,1707284,1078110,0.3685233388235349,337912,941073666,128.27234425807347,135884,132065,134763.75,1140.7348234800234,1120.25,215953,210271,213410.5,1537.0843340558774,2542.5
