method,core_n,n
metis,13713,39887
metis,14485,41425
metis,13754,40530
metis,13685,40138
metis,14457,41800
metis,14485,40742
metis,13800,40019
metis,14125,39579
grid,14175,48330
grid,14077,47916
grid,14147,48327
grid,14049,47913
grid,14077,47648
grid,13979,47231
grid,14049,47645
grid,13951,47228
metis_unweighted,13870,40406
metis_unweighted,14454,40445
metis_unweighted,14103,40225
metis_unweighted,13661,39742
metis_unweighted,14451,40134
metis_unweighted,13664,39220
metis_unweighted,14459,40814
metis_unweighted,13842,40367
metis,13317,36051
metis,13941,37559
metis,14130,37892
metis,13318,35788
metis,13482,36282
metis,14130,38063
metis,14109,37559
metis,13317,36092
grid,13700,57053
grid,13746,57474
grid,13687,56893
grid,13741,57621
grid,13759,57812
grid,13690,56826
grid,13740,57576
grid,13681,56880
metis_unweighted,13936,36978
metis_unweighted,13356,35688
metis_unweighted,14119,37075
metis_unweighted,13764,36231
metis_unweighted,13640,35974
metis_unweighted,14129,37419
metis_unweighted,13441,36226
metis_unweighted,13359,36214
metis,13684,34125
metis,13545,34302
metis,13522,34516
metis,14221,35259
metis,14217,35484
metis,13822,35158
metis,14059,34203
metis,14062,35596
grid,14784,46872
grid,14553,46355
grid,14553,46261
grid,14322,45549
grid,13440,44216
grid,13230,43735
grid,13230,43634
grid,13020,42974
metis_unweighted,13956,34962
metis_unweighted,14071,34677
metis_unweighted,13652,33515
metis_unweighted,13657,35220
metis_unweighted,13948,34559
metis_unweighted,13930,34733
metis_unweighted,13656,34656
metis_unweighted,14262,35161
metis,13501,37425
metis,13503,37299
metis,13504,37011
metis,13494,36798
metis,13499,37303
metis,13500,36824
metis,13495,36863
metis,13504,36816
grid,14895,43319
grid,13935,41399
grid,13935,41399
grid,13035,39283
grid,13935,41399
grid,13035,39283
grid,13035,39283
grid,12195,37547
metis_unweighted,13501,36429
metis_unweighted,13489,37209
metis_unweighted,13490,37362
metis_unweighted,13496,37168
metis_unweighted,13470,36894
metis_unweighted,13581,37218
metis_unweighted,13486,36958
metis_unweighted,13487,36567
metis,13247,49405
metis,13089,48930
metis,12893,48779
metis,12539,47897
metis,13209,49898
metis,12849,49537
metis,12573,49023
metis,12486,47844
grid,12912,53760
grid,12815,53591
grid,12996,54183
grid,12901,53838
grid,12824,53626
grid,12713,53392
grid,12909,53738
grid,12815,53523
metis_unweighted,12731,49315
metis_unweighted,12671,48476
metis_unweighted,13136,49737
metis_unweighted,12624,47274
metis_unweighted,12983,48105
metis_unweighted,13045,48699
metis_unweighted,12674,48781
metis_unweighted,13021,49445
metis,14312,36114
metis,14455,36176
metis,14767,36564
metis,15164,37025
metis,14468,36125
metis,14631,36536
metis,15163,37046
metis,14952,36900
grid,15171,66252
grid,14868,65053
grid,14885,65548
grid,14610,64844
grid,14902,66327
grid,14593,65044
grid,14576,64585
grid,14307,64163
metis_unweighted,15157,36809
metis_unweighted,14309,36000
metis_unweighted,14309,35685
metis_unweighted,14736,36125
metis_unweighted,14599,36896
metis_unweighted,15107,37055
metis_unweighted,14514,35935
metis_unweighted,15181,37046
metis,13496,36932
metis,13500,37604
metis,13505,36784
metis,13495,36677
metis,13507,37275
metis,13503,37175
metis,13497,37348
metis,13497,36787
grid,13535,40631
grid,13529,40658
grid,13628,40850
grid,13589,40795
grid,13469,40441
grid,13475,40451
grid,13375,40410
grid,13400,40511
metis_unweighted,13492,36613
metis_unweighted,13501,35705
metis_unweighted,13509,36415
metis_unweighted,13506,37213
metis_unweighted,13489,37310
metis_unweighted,13492,36523
metis_unweighted,13506,36445
metis_unweighted,13505,36300
metis,13718,37015
metis,13719,37452
metis,13725,37680
metis,13721,37192
metis,13718,37348
metis,13725,37545
metis,13719,37557
metis,13715,37065
grid,13736,44907
grid,13737,44936
grid,13716,44719
grid,13713,44703
grid,13733,44852
grid,13735,44881
grid,13699,44572
grid,13691,44553
metis_unweighted,13702,36858
metis_unweighted,13715,37183
metis_unweighted,13749,37375
metis_unweighted,13737,37383
metis_unweighted,13715,36965
metis_unweighted,13712,37173
metis_unweighted,13715,37521
metis_unweighted,13715,36737
metis,12308,39183
metis,12481,39758
metis,12493,39722
metis,12491,39401
metis,12904,40467
metis,12698,40129
metis,12493,39400
metis,12356,38970
grid,12530,54095
grid,12527,54094
grid,12527,54094
grid,12531,54094
grid,12528,54094
grid,12528,54094
grid,12528,54094
grid,12525,54094
metis_unweighted,12904,39593
metis_unweighted,12894,40046
metis_unweighted,12411,39426
metis_unweighted,12312,39013
metis_unweighted,12521,39599
metis_unweighted,12162,38789
metis_unweighted,12195,38689
metis_unweighted,12825,39756
metis,14470,38113
metis,14166,36013
metis,14647,37221
metis,14876,37760
metis,14672,37681
metis,14797,37302
metis,14489,36523
metis,14486,38610
grid,15470,54644
grid,13923,51435
grid,15500,55262
grid,13950,52007
grid,15200,53692
grid,13680,50551
grid,15200,54213
grid,13680,51024
metis_unweighted,14349,37026
metis_unweighted,14816,37428
metis_unweighted,14436,37849
metis_unweighted,14271,36401
metis_unweighted,14770,37680
metis_unweighted,14777,37506
metis_unweighted,14439,37527
metis_unweighted,14745,37464
metis,14299,44574
metis,13872,45410
metis,14304,45087
metis,13971,46084
metis,14197,45154
metis,13515,44499
metis,13486,44902
metis,13488,43008
grid,14244,57043
grid,14002,55680
grid,14001,56078
grid,13760,55131
grid,14001,55692
grid,13802,55340
grid,13761,54992
grid,13561,54784
metis_unweighted,13713,43458
metis_unweighted,13722,45385
metis_unweighted,13687,43635
metis_unweighted,13718,44341
metis_unweighted,14223,45139
metis_unweighted,14308,45858
metis_unweighted,13487,43458
metis_unweighted,14274,45020
metis,13742,38827
metis,13703,39295
metis,14105,39386
